transect	time	cluster	week	mean	sd	normalMean	normalSD	distanceTenX
1	oakMargin	am	cl1	34	0	0	0	0	0
2	oakMargin	am	cl1	32	0.0277777777777778	0.166666666666667	0.0375	0.176494078496727	0.0958842528056731
3	oakMargin	am	cl1	31	0.0277777777777778	0.166666666666667	0.0375	0.176494078496727	0.0958842528056731
4	oakMargin	am	cl1	30	0.0555555555555556	0.232310684145723	0.075	0.246008760739462	0.144066226403489
5	oakMargin	am	cl1	29	0.0277777777777778	0.166666666666667	0.0375	0.176494078496727	0.0958842528056731
6	oakMargin	am	cl1	28	0.194444444444444	0.576662537832728	0.2625	0.610665139310229	0.402658947612238
7	oakMargin	am	cl1	27	0.0833333333333333	0.28232985128664	0.1125	0.298977281609721	0.187091164221309
8	oakMargin	am	cl1	26	0.0833333333333333	0.280305955290694	0.1125	0.296834047657055	0.186236040985943
9	oakMargin	am	cl1	25	0.138888888888889	0.424451092775988	0.1875	0.449478626918561	0.292684145477935
10	oakMargin	am	cl1	24	0.444444444444444	0.6068393265552	0.6	0.642621286415607	0.680617755747389
11	oakMargin	am	cl1	23	0.166666666666667	0.38069349381344	0.225	0.403140884281816	0.302085489795325
12	oakMargin	am	cl2	34	0	0	0	0	0
13	oakMargin	am	cl2	32	0	0	0	0	0
14	oakMargin	am	cl2	31	0.037037037037037	0.192450089729875	0.05	0.203797807460921	0.113505006856392
15	oakMargin	am	cl2	30	0.111111111111111	0.320256307610174	0.15	0.339140051366533	0.226393448691042
16	oakMargin	am	cl2	29	0.0740740740740741	0.266880256341812	0.1	0.282616709472111	0.173112827711325
17	oakMargin	am	cl2	28	0.185185185185185	0.557262335477027	0.25	0.590121014285712	0.386730788631316
18	oakMargin	am	cl2	27	0.0555555555555556	0.235702260395516	0.075	0.249600319488613	0.145602472067628
19	oakMargin	am	cl2	26	0.148148148148148	0.456045181947149	0.2	0.482935644843806	0.313539007565527
20	oakMargin	am	cl2	25	0.333333333333333	0.554700196225229	0.45	0.587407799848354	0.537365779363248
21	oakMargin	am	cl2	24	0.740740740740741	0.944318744777362	1	1	1.11803398874989
22	oakMargin	am	cl2	23	0.222222222222222	0.548318880553316	0.3	0.580650213273688	0.417478942635068
23	oakMargin	am	cl3	34	0	0	0	0	0
24	oakMargin	am	cl3	32	0.037037037037037	0.192450089729875	0.05	0.203797807460921	0.113505006856392
25	oakMargin	am	cl3	31	0.0740740740740741	0.266880256341812	0.1	0.282616709472111	0.173112827711325
26	oakMargin	am	cl3	30	0.0740740740740741	0.266880256341812	0.1	0.282616709472111	0.173112827711325
27	oakMargin	am	cl3	29	0.111111111111111	0.320256307610174	0.15	0.339140051366533	0.226393448691042
28	oakMargin	am	cl3	28	0.259259259259259	0.594370552161152	0.35	0.629417297335641	0.470681987701172
29	oakMargin	am	cl3	27	0.111111111111111	0.323380833381777	0.15	0.342448813147323	0.227635228834428
30	oakMargin	am	cl3	26	0.148148148148148	0.456045181947149	0.2	0.482935644843806	0.313539007565527
31	oakMargin	am	cl3	25	0.296296296296296	0.668800005452637	0.4	0.708235443965816	0.53422781752953
32	oakMargin	am	cl3	24	0.407407407407407	0.636049058295352	0.55	0.673553354535296	0.644917460107445
33	oakMargin	am	cl3	23	0.0555555555555556	0.235702260395516	0.075	0.249600319488613	0.145602472067628
