"row"	"position"	"week"	"transect"	"cluster"	"newCluster"
"1"	"24"	1	24	"control"	"3"	"1"
"2"	"24"	3	24	"control"	"3"	"1"
"3"	"24"	5	24	"control"	"2"	"2"
"4"	"24"	7	24	"control"	"1"	"3"
"5"	"24"	9	24	"control"	"1"	"3"
"6"	"24"	10	24	"control"	"1"	"3"
"7"	"24"	3	24	"control"	"3"	"1"
"8"	"24"	6	24	"control"	"2"	"2"
"9"	"24"	8	24	"control"	"1"	"3"
"10"	"24"	6	24	"control"	"2"	"2"
"11"	"24"	7	24	"control"	"1"	"3"
"12"	"24"	8	24	"control"	"1"	"3"
"13"	"24"	9	24	"control"	"1"	"3"
"14"	"24"	10	24	"control"	"1"	"3"
"15"	"24"	3	24	"control"	"3"	"1"
"16"	"24"	4	24	"control"	"2"	"2"
"17"	"24"	6	24	"control"	"2"	"2"
"18"	"24"	7	24	"control"	"1"	"3"
"19"	"24"	9	24	"control"	"1"	"3"
"20"	"24"	10	24	"control"	"1"	"3"
"21"	"24"	1	24	"control"	"3"	"1"
"22"	"24"	4	24	"control"	"2"	"2"
"23"	"24"	5	24	"control"	"2"	"2"
"24"	"24"	9	24	"control"	"1"	"3"
"25"	"24"	10	24	"control"	"1"	"3"
"26"	"24"	1	24	"control"	"3"	"1"
"27"	"24"	2	24	"control"	"3"	"1"
"28"	"24"	3	24	"control"	"3"	"1"
"29"	"24"	7	24	"control"	"1"	"3"
"30"	"24"	8	24	"control"	"1"	"3"
"31"	"24"	9	24	"control"	"1"	"3"
"32"	"24"	10	24	"control"	"1"	"3"
"33"	"24"	1	24	"control"	"3"	"1"
"34"	"24"	2	24	"control"	"3"	"1"
"35"	"24"	3	24	"control"	"3"	"1"
"36"	"24"	5	24	"control"	"2"	"2"
"37"	"24"	6	24	"control"	"2"	"2"
"38"	"24"	7	24	"control"	"1"	"3"
"39"	"24"	8	24	"control"	"1"	"3"
"40"	"24"	9	24	"control"	"1"	"3"
"41"	"24"	10	24	"control"	"1"	"3"
"42"	"24"	4	24	"control"	"2"	"2"
"43"	"24"	5	24	"control"	"2"	"2"
"44"	"24"	6	24	"control"	"2"	"2"
"45"	"24"	7	24	"control"	"1"	"3"
"46"	"24"	9	24	"control"	"1"	"3"
"47"	"24"	10	24	"control"	"1"	"3"
"48"	"24"	2	24	"control"	"3"	"1"
"49"	"24"	5	24	"control"	"2"	"2"
"50"	"24"	9	24	"control"	"1"	"3"
